transaction_id,user_id,upi_id,device_id,device_type,os_version,app,transaction_type,merchant,receiver_upi,amount,transaction_datetime,hour,day_of_week,location,login_attempts,time_spent_on_app,past_day_transactions,past_week_transactions,status,is_fraud
TR00002585,user_706,b422c9d6@okicici,device_103,iOS,17,PhonePe,Bill Payment,Jio,,2330.94,2025-07-26 09:02:56.492040,9,5,Location_2,1,30.47,2,10,FAILURE,0
TR00005386,user_165,6be56934@okicici,device_1,Android,13,WhatsApp Pay,P2P,,b2691022@oksbi,3110.69,2025-08-16 20:45:56.492040,20,5,Location_4,1,276.03,3,5,SUCCESS,0
TR00007055,user_786,cd6b265e@yesbank,device_133,Android,10,PhonePe,P2M,Movie Tickets,,5859.84,2025-07-04 19:32:56.492040,19,4,Location_2,1,282.83,3,3,SUCCESS,0
TR00007364,user_737,fe77823c@okicici,device_191,Android,10,BHIM,Recharge,Reliance Digital,,399.0,2025-10-01 14:46:56.492040,14,2,Location_4,1,165.13,0,4,SUCCESS,0
TR00003858,user_290,12479ebd@okicici,device_473,Android,14,BHIM,P2M,Movie Tickets,,7349.66,2025-07-05 10:36:56.492040,10,5,Location_3,1,58.7,2,7,SUCCESS,0
TR00001639,user_505,f4590ffb@oksbi,device_880,Android,11,PhonePe,E-commerce,Myntra,,8937.8,2025-09-26 23:15:56.492040,23,4,Location_4,1,67.1,1,8,SUCCESS,0
TR00009106,user_7160,c119@oksbi,device_2685,iOS,15,Google Pay,Recharge,BigBasket,,3.78,2025-08-29 22:44:56.492040,22,4,Location_75,1,6.1,13,22,SUCCESS,1
TR00008071,user_839,k404@yesbank,device_6337,iOS,15,WhatsApp Pay,Recharge,Amazon,,39317.47,2025-07-04 01:53:56.492040,1,4,Location_42,1,9.08,7,12,SUCCESS,1
TR00000303,user_792,9e8bba9a@okhdfc,device_781,Android,12,PhonePe,Bill Payment,Zomato,,2588.96,2025-10-03 07:58:56.492040,7,4,Location_5,1,153.94,0,10,SUCCESS,0
TR00000263,user_591,04669cef@okhdfc,device_801,Android,14,PhonePe,E-commerce,BSES,,4341.98,2025-10-15 19:34:56.492040,19,2,Location_1,1,134.35,0,0,SUCCESS,0
TR00008584,user_6802,u511@okaxis,device_9747,Android,11,Amazon Pay,Bill Payment,Jio,,28723.37,2025-04-25 07:01:56.492040,7,4,Location_25,10,24.5,13,13,SUCCESS,1
TR00009315,user_6932,s187@oksbi,device_6779,Android,13,BHIM,E-commerce,TATA Power,,34600.89,2025-08-25 21:42:56.492040,21,0,Location_63,1,7.37,14,20,SUCCESS,1
TR00008236,user_3871,r924@oksbi,device_3057,iOS,15,PhonePe,P2M,Jio,,22587.21,2025-08-28 22:37:56.492040,22,3,Location_53,1,8.78,12,12,SUCCESS,1
TR00001176,user_632,dcd352b5@okicici,device_506,Android,14,Paytm,Recharge,Reliance Digital,,999.0,2025-07-28 11:25:56.492040,11,0,Location_14,1,62.28,1,10,SUCCESS,0
TR00005224,user_413,2cee2892@okicici,device_250,Android,10,PhonePe,Bill Payment,Myntra,,2210.01,2025-04-28 13:51:56.492040,13,0,Location_6,1,220.8,2,8,SUCCESS,0
TR00003257,user_26,1b37181a@oksbi,device_459,iOS,16,Google Pay,Recharge,Flipkart,,249.0,2025-08-20 01:04:56.492040,1,2,Location_3,1,79.8,3,9,SUCCESS,0
TR00006157,user_15,ce11f5ec@okhdfc,device_230,Android,11,Paytm,Recharge,Zomato,,349.0,2025-09-11 19:37:56.492040,19,3,Location_2,1,33.92,2,9,SUCCESS,0
TR00001385,user_745,94414aae@oksbi,device_912,Android,13,Paytm,Recharge,Myntra,,699.0,2025-10-15 12:24:56.492040,12,2,Location_3,1,205.5,0,3,SUCCESS,0
TR00002450,user_245,74fde9dd@yesbank,device_861,iOS,15,Amazon Pay,E-commerce,Swiggy,,1275.67,2025-08-24 08:36:56.492040,8,6,Location_5,1,170.8,0,4,SUCCESS,0
TR00000138,user_172,efe3d6fc@okicici,device_336,Android,12,Paytm,Bill Payment,Movie Tickets,,1869.15,2025-07-01 04:01:56.492040,4,1,Location_2,1,36.75,1,1,SUCCESS,0
TR00007344,user_518,0c03d7af@oksbi,device_390,Android,14,WhatsApp Pay,E-commerce,Movie Tickets,,2572.08,2025-07-23 17:10:56.492040,17,2,Location_5,1,180.38,1,1,SUCCESS,0
TR00006985,user_618,3fd8831f@okicici,device_125,iOS,15,WhatsApp Pay,E-commerce,Airtel,,1866.78,2025-09-22 09:10:56.492040,9,0,Location_8,1,192.65,2,6,SUCCESS,0
TR00008258,user_6727,d440@oksbi,device_7081,Android,10,PhonePe,E-commerce,Movie Tickets,,17480.45,2025-06-07 23:51:56.492040,23,5,Location_70,7,13.82,3,5,SUCCESS,1
TR00000392,user_450,0a0ef91b@okhdfc,device_623,Android,12,BHIM,Bill Payment,Jio,,1724.83,2025-07-09 10:55:56.492040,10,2,Location_1,1,64.44,2,12,SUCCESS,0
TR00004406,user_121,24822637@oksbi,device_909,Android,12,WhatsApp Pay,Bill Payment,Amazon,,2008.22,2025-05-31 18:27:56.492040,18,5,Location_5,1,144.83,1,11,SUCCESS,0
TR00000847,user_543,76cd692f@okicici,device_380,iOS,16,Google Pay,Bill Payment,Swiggy,,1375.08,2025-08-25 02:39:56.492040,2,0,Location_5,1,203.55,0,3,SUCCESS,0
TR00004843,user_155,2df794f7@oksbi,device_111,iOS,15,PhonePe,Bill Payment,BSES,,2990.02,2025-06-25 10:19:56.492040,10,2,Location_2,1,158.23,0,9,SUCCESS,0
TR00006628,user_465,f1144df3@okaxis,device_21,iOS,16,PhonePe,Bill Payment,Swiggy,,2942.63,2025-07-28 03:49:56.492040,3,0,Location_16,1,288.38,2,6,SUCCESS,0
TR00007608,user_21,e769ea64@oksbi,device_186,iOS,17,Amazon Pay,Bill Payment,Zomato,,2796.77,2025-08-22 06:26:56.492040,6,4,Location_4,1,283.19,3,11,SUCCESS,0
TR00008916,user_527,k866@okicici,device_7255,iOS,15,WhatsApp Pay,P2M,Jio,,15996.41,2025-04-24 17:35:56.492040,17,3,Location_81,7,110.72,20,29,FAILURE,1
TR00002067,user_216,0912fe32@okhdfc,device_47,Android,13,Google Pay,E-commerce,Movie Tickets,,7766.11,2025-09-24 06:50:56.492040,6,2,Location_4,1,161.31,2,10,SUCCESS,0
TR00002468,user_396,b557c8d3@okhdfc,device_675,iOS,16,Amazon Pay,P2P,,a6e316ee@okicici,3035.03,2025-09-14 10:40:56.492040,10,6,Location_4,1,131.47,3,11,SUCCESS,0
TR00002443,user_401,a2edf563@yesbank,device_404,Android,12,WhatsApp Pay,Bill Payment,Amazon,,1354.85,2025-09-20 08:20:56.492040,8,5,Location_4,1,235.23,0,10,SUCCESS,0
TR00000898,user_366,1ef11318@okaxis,device_117,Android,13,Paytm,P2M,Zomato,,8460.12,2025-07-18 07:04:56.492040,7,4,Location_3,1,158.03,3,11,SUCCESS,0
TR00002132,user_475,83d4298a@okicici,device_599,iOS,15,Amazon Pay,Recharge,Airtel,,699.0,2025-08-06 16:36:56.492040,16,2,Location_13,1,260.07,2,6,SUCCESS,0
TR00009632,user_5437,x868@okhdfc,device_1865,Android,12,WhatsApp Pay,P2M,Reliance Digital,,19127.32,2025-08-24 23:22:56.492040,23,6,Location_24,1,10.25,8,12,FAILURE,1
TR00001191,user_623,5432eeb1@okicici,device_377,iOS,17,PhonePe,P2P,,cbbabdc3@okicici,4298.8,2025-10-10 21:17:56.492040,21,4,Location_4,1,156.58,1,1,SUCCESS,0
TR00008573,user_2558,a326@okicici,device_9454,iOS,15,BHIM,Bill Payment,Myntra,,43513.55,2025-05-06 22:44:56.492040,22,1,Location_58,6,25.62,3,13,SUCCESS,1
TR00006477,user_361,23fae2a9@yesbank,device_326,iOS,17,WhatsApp Pay,Bill Payment,Flipkart,,1814.4,2025-10-14 05:05:56.492040,5,1,Location_1,1,91.59,1,10,SUCCESS,0
TR00001632,user_302,4c8efea5@yesbank,device_198,iOS,17,PhonePe,Recharge,Airtel,,299.0,2025-06-20 23:57:56.492040,23,4,Location_1,1,292.61,0,1,SUCCESS,0
TR00007867,user_506,3cd079eb@yesbank,device_71,iOS,16,WhatsApp Pay,P2M,BigBasket,,3597.87,2025-06-11 01:42:56.492040,1,2,Location_3,1,226.86,2,11,SUCCESS,0
TR00006417,user_721,58a95cf0@yesbank,device_717,iOS,15,Paytm,Bill Payment,Reliance Digital,,1432.58,2025-10-05 04:54:56.492040,4,6,Location_4,1,83.23,1,2,SUCCESS,0
TR00008341,user_1121,n817@okicici,device_7904,iOS,16,Amazon Pay,P2M,Reliance Digital,,17437.85,2025-10-16 23:38:56.492040,23,3,Location_95,1,8.31,2,12,SUCCESS,1
TR00001374,user_581,6115a60b@okaxis,device_813,Android,12,Paytm,P2M,Airtel,,9480.17,2025-10-15 07:02:56.492040,7,2,Location_4,1,198.89,0,4,SUCCESS,0
TR00000574,user_127,2abc2846@okhdfc,device_688,Android,14,BHIM,P2P,,b0fba385@okicici,210.7,2025-09-21 12:56:56.492040,12,6,Location_5,1,218.51,1,9,SUCCESS,0
TR00005704,user_607,7d968fca@okicici,device_987,Android,11,BHIM,P2M,Airtel,,1591.81,2025-07-11 03:07:56.492040,3,4,Location_3,1,80.54,3,5,SUCCESS,0
TR00002069,user_478,9a6cf308@yesbank,device_572,iOS,15,PhonePe,E-commerce,Myntra,,2251.05,2025-06-09 13:44:56.492040,13,0,Location_11,1,277.1,1,5,SUCCESS,0
TR00001289,user_333,cbd88a02@okhdfc,device_832,Android,13,PhonePe,Bill Payment,Movie Tickets,,1521.99,2025-08-29 23:42:56.492040,23,4,Location_5,1,255.1,3,12,SUCCESS,0
TR00008998,user_4926,r433@okicici,device_871,Android,11,Amazon Pay,E-commerce,Zomato,,4.71,2025-06-04 23:19:56.492040,23,2,Location_38,1,27.43,0,2,FAILURE,1
TR00006496,user_737,fe77823c@okicici,device_308,iOS,17,PhonePe,E-commerce,Airtel,,4327.94,2025-08-22 19:40:56.492040,19,4,Location_3,1,163.7,3,8,SUCCESS,0
TR00002692,user_294,85fe47c1@oksbi,device_140,Android,14,Paytm,Recharge,Swiggy,,399.0,2025-09-02 12:25:56.492040,12,1,Location_6,1,206.4,1,8,SUCCESS,0
TR00007325,user_634,65e75a98@okhdfc,device_469,iOS,17,Paytm,Recharge,BigBasket,,399.0,2025-09-12 00:02:56.492040,0,4,Location_1,2,253.91,2,9,SUCCESS,0
TR00000130,user_646,1b777e78@okicici,device_292,Android,13,Google Pay,E-commerce,TATA Power,,5282.79,2025-05-21 04:03:56.492040,4,2,Location_1,1,282.72,3,10,SUCCESS,0
TR00000508,user_76,4a629fbe@oksbi,device_231,iOS,17,PhonePe,E-commerce,Movie Tickets,,3486.11,2025-08-11 18:53:56.492040,18,0,Location_3,1,127.65,2,10,SUCCESS,0
TR00002906,user_331,22ab7b8e@yesbank,device_970,Android,12,WhatsApp Pay,P2P,,43681ee2@okicici,707.07,2025-07-18 21:58:56.492040,21,4,Location_1,1,58.53,3,7,SUCCESS,0
TR00003144,user_480,5d4abbbe@okhdfc,device_359,iOS,17,BHIM,P2P,,a2f86e52@okhdfc,3859.74,2025-05-22 17:59:56.492040,17,3,Location_5,1,151.45,2,6,SUCCESS,0
TR00004322,user_447,f05840f7@yesbank,device_78,iOS,16,WhatsApp Pay,Recharge,Flipkart,,349.0,2025-07-05 02:27:56.492040,2,5,Location_2,1,108.34,0,0,SUCCESS,0
TR00008006,user_6582,e418@okicici,device_3526,iOS,15,Paytm,P2P,,t197@okaxis,47619.82,2025-08-29 22:55:56.492040,22,4,Location_46,1,292.13,2,5,SUCCESS,1
TR00000766,user_255,8e8daf28@oksbi,device_435,iOS,15,BHIM,P2P,,45ae1328@okhdfc,4937.74,2025-06-24 00:01:56.492040,0,1,Location_3,1,206.09,1,1,SUCCESS,0
TR00005816,user_687,39119802@okicici,device_815,iOS,17,Paytm,Bill Payment,Zomato,,1727.16,2025-07-26 02:51:56.492040,2,5,Location_4,1,143.12,3,6,SUCCESS,0
TR00005589,user_312,c4f54a95@okicici,device_149,iOS,17,Paytm,P2M,Reliance Digital,,7676.84,2025-05-15 20:48:56.492040,20,3,Location_4,1,290.4,3,6,SUCCESS,0
TR00007924,user_99,98506649@okaxis,device_616,Android,14,Amazon Pay,P2P,,a191608a@oksbi,4682.73,2025-07-06 02:18:56.492040,2,6,Location_5,1,31.65,3,8,SUCCESS,0
TR00001022,user_246,d870c53e@oksbi,device_245,Android,11,PhonePe,Recharge,BigBasket,,349.0,2025-07-24 13:33:56.492040,13,3,Location_4,1,236.83,1,6,SUCCESS,0
TR00004217,user_149,3f944a6c@okaxis,device_178,iOS,17,WhatsApp Pay,P2M,Myntra,,2348.89,2025-08-09 17:31:56.492040,17,5,Location_1,1,127.46,0,7,SUCCESS,0
TR00005392,user_469,31ddeb4d@okicici,device_652,iOS,15,Google Pay,P2M,Zomato,,7703.23,2025-04-23 02:53:56.492040,2,2,Location_2,1,170.35,0,7,SUCCESS,0
TR00003868,user_497,481e42ec@okaxis,device_311,iOS,15,Amazon Pay,Bill Payment,Zomato,,1431.47,2025-10-14 14:59:56.492040,14,1,Location_5,1,112.98,0,6,SUCCESS,0
TR00003139,user_704,a3d6a402@okicici,device_779,iOS,16,BHIM,E-commerce,BigBasket,,8216.02,2025-10-12 21:21:56.492040,21,6,Location_12,1,53.49,0,0,SUCCESS,0
TR00000003,user_208,f0fa885f@okaxis,device_72,iOS,17,Amazon Pay,P2M,Swiggy,,7125.74,2025-08-26 22:14:56.492040,22,1,Location_3,1,121.5,1,8,SUCCESS,0
TR00001004,user_41,c9c8d4a3@okicici,device_286,iOS,16,Paytm,P2M,Myntra,,8042.69,2025-07-19 13:23:56.492040,13,5,Location_2,1,273.93,0,1,SUCCESS,0
TR00009214,user_722,o377@okicici,device_3148,Android,10,BHIM,Recharge,TATA Power,,38301.2,2025-05-04 00:31:56.492040,0,6,Location_91,5,217.91,8,11,SUCCESS,1
TR00007761,user_769,31720930@okhdfc,device_894,Android,14,Google Pay,Bill Payment,BSES,,1852.15,2025-04-20 03:39:56.492040,3,6,Location_2,2,274.14,1,7,SUCCESS,0
TR00007019,user_272,15d0d0de@okicici,device_643,Android,11,BHIM,P2M,BSES,,6175.01,2025-06-17 19:52:56.492040,19,1,Location_3,1,242.31,2,4,FAILURE,0
TR00002526,user_485,dcfadb1e@okicici,device_841,Android,12,Google Pay,P2P,,10de949c@okaxis,1060.68,2025-05-03 04:36:56.492040,4,5,Location_3,1,85.55,1,11,SUCCESS,0
TR00005726,user_550,fc7236bb@yesbank,device_258,iOS,16,BHIM,Recharge,Jio,,399.0,2025-09-27 01:37:56.492040,1,5,Location_3,1,168.2,3,4,SUCCESS,0
TR00008374,user_9275,k663@okhdfc,device_1783,Android,14,BHIM,Bill Payment,Jio,,6.16,2025-09-25 00:28:56.492040,0,3,Location_95,4,10.01,0,7,SUCCESS,1
TR00001403,user_60,8e9300d8@yesbank,device_969,Android,11,Paytm,E-commerce,Jio,,5739.05,2025-06-19 02:25:56.492040,2,3,Location_1,1,276.28,1,11,SUCCESS,0
TR00002322,user_262,188768e4@yesbank,device_682,Android,11,Amazon Pay,Recharge,Jio,,999.0,2025-08-28 00:38:56.492040,0,3,Location_2,1,280.14,1,10,SUCCESS,0
